,番号,先進医療技術名,都道府県,実施している医療機関の名称
K,番号,先進医療技術名,都道府県,実施している医療機関の名称
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,埼玉県,埼玉医科大学国際医療センター
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,栃木県,自治医科大学附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,新潟県,新潟県立がんセンター　新潟病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,宮城県,東北大学病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,愛媛県,独立行政法人国立病院機構　四国がんセンター
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,鳥取県,鳥取市立病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,－,－
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,埼玉県,埼玉医科大学総合医療センター
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,-,-
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,群馬県,群馬大学医学部附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,神奈川県,横浜市立市民病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,広島県,市立三次中央病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,広島県,広島県厚生農業協同組合連合会　廣島総合病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,茨城県,筑波大学附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,新潟県,新潟大学医歯学総合病院
